DATETIME,TOTALDEMAND,TEMPERATURE,Rain,Evap,Radn,VP,RH
2010-01-04,6014.44,25.36,10.6,22.0,69.3,97.7,72.56
2010-01-11,6335.51,24.89,9.4,41.4,165.3,171.8,78.86
2010-01-18,6731.29,25.79,1.0,58.4,203.6,155.6,69.94
2010-01-25,6823.76,25.65,0.0,56.8,205.1,150.2,69.46
2010-02-01,6589.74,25.74,49.8,48.4,149.1,171.4,75.55
2010-02-08,6581.12,25.13,44.4,46.4,153.1,167.1,74.11
2010-02-15,6708.01,25.3,1.4,49.2,188.9,170.0,76.19
2010-02-22,6417.93,24.31,32.6,37.0,133.0,175.4,78.62
2010-03-01,6465.25,24.2,44.8,37.0,123.4,177.7,80.73
2010-03-08,6356.11,23.42,107.0,24.2,72.7,171.4,81.03
2010-03-15,6202.57,23.05,19.2,41.0,145.2,154.0,75.38
2010-03-22,6011.67,22.72,1.2,34.4,133.0,143.2,73.31
2010-03-29,6111.47,22.7,38.8,36.2,137.1,159.6,80.36
2010-04-05,5795.56,21.9,15.4,31.4,116.9,151.4,80.29
2010-04-12,6192.72,22.7,0.2,27.4,116.7,159.5,80.46
2010-04-19,5952.0,20.28,47.2,27.0,98.1,137.6,80.26
2010-04-26,5879.2,20.22,44.4,21.4,97.6,145.7,80.71
2010-05-03,5868.39,20.0,0.0,26.6,114.9,123.8,75.04
2010-05-10,5830.45,17.63,25.0,19.2,102.1,115.9,75.42
2010-05-17,5816.57,15.65,2.8,18.4,96.0,94.2,69.46
2010-05-24,5835.77,16.02,4.0,17.8,86.9,104.1,76.69
2010-05-31,5882.04,16.82,19.8,19.0,73.4,106.5,75.49
2010-06-07,5850.89,16.25,1.0,22.2,86.9,94.4,70.96
2010-06-14,5819.76,13.8,0.0,19.0,86.6,73.6,62.71
2010-06-21,5834.09,14.95,0.6,16.6,75.9,89.9,72.21
2010-06-28,5832.34,13.92,5.2,17.0,76.2,100.9,78.36
2010-07-05,5968.86,12.78,15.2,13.8,63.8,69.1,64.56
2010-07-12,5843.69,14.98,1.4,18.2,70.0,91.3,72.02
2010-07-19,5794.17,13.88,0.0,22.8,86.9,79.2,67.33
2010-07-26,5775.95,14.31,4.2,22.4,79.9,82.1,69.34
2010-08-02,5738.93,17.49,21.6,25.4,85.7,116.5,75.39
2010-08-09,5787.59,13.68,0.0,24.4,107.8,64.7,62.26
2010-08-16,5776.87,15.29,84.6,35.4,99.4,82.4,67.06
2010-08-23,5792.82,15.1,14.8,22.6,100.6,86.5,70.54
2010-08-30,5752.16,15.63,8.4,33.0,108.3,70.5,57.97
