label,type,burnstatus,owning_age,StartDate,EndDate,pct_burn,area_ha
Currimundi Lake (Kathleen McArthur) Regional Park/2000/W/2,WF,OUT,QPWS,2000-10-06,2000-10-06,100,2.20159894
Barakula State Forest/2000/W/3,WF,OUT,QPWS,2000-10-07,2000-10-07,75,2268.771825
D'Aguilar National Park/2000/W/3,WF,OUT,QPWS,2000-10-10,2000-10-10,0,0.77123596
Girringun National Park/2000/W/1,WF,OUT,QPWS,2000-10-11,2000-10-11,0,533.7944836
Bulli State Forest/2000/W/1,WF,OUT,QPWS,2000-10-27,2000-10-27,0,4.44144216
Bunyaville Regional Park/2000/W/1,WF,OUT,QPWS,2000-10-28,2000-10-28,0,18.79490649
Girringun National Park/2000/W/2,WF,OUT,QPWS,2000-11-01,2000-11-01,0,18485.14521
Royton Timber Reserve/2000/W/1,WF,OUT,QPWS,2000-11-15,2000-11-15,80,8987.451618
Binkey State Forest 2/2000/W/1,WF,OUT,QPWS,2000-11-23,2000-11-23,0,56.50416694
D'Aguilar National Park/2000/W/1,WF,OUT,QPWS,2000-11-28,2000-11-28,0,3.27616775
Mount Barney National Park/2000/W/1,WF,OUT,QPWS,2000-11-29,2000-11-29,80,1302.047992
Carnarvon National Park/2000/W/2,WF,OUT,QPWS,2000-12-01,2000-12-01,100,25.30271732
Great Sandy National Park/2000/W/5,WF,OUT,QPWS,2000-12-01,2000-12-01,95,10.37551641
Great Sandy National Park/2000/W/4,WF,OUT,QPWS,2000-12-01,2000-12-01,80,7.96795782
Great Sandy National Park/2000/W/6,WF,OUT,QPWS,2000-12-01,2000-12-01,60,56.71666425
Deepwater National Park/2000/W/1,WF,OUT,QPWS,2000-12-01,2000-12-01,0,5031.073105
D'Aguilar National Park/2000/W/7,WF,OUT,QPWS,2000-12-02,2000-12-02,0,811.749885
D'Aguilar National Park/2000/W/9,WF,OUT,QPWS,2000-12-02,2000-12-02,0,105.3818215
Burrum Coast National Park/2000/W/2,WF,OUT,QPWS,2000-12-04,2000-12-04,70,206.3789141
Great Sandy National Park/2000/W/7,WF,OUT,QPWS,2000-12-08,2000-12-08,95,957.6430217
Mooloolah River National Park/2000/W/1,WF,OUT,QPWS,2000-12-09,2000-12-09,0,4.14198288
Daandine State Forest/2000/W/1,WF,OUT,QPWS,2000-12-14,2000-12-14,0,6.33969539
D'Aguilar National Park/2000/W/6,WF,OUT,QPWS,2000-12-19,2000-12-19,0,640.8412158
Allies Creek State Forest/2000/W/1,WF,OUT,QPWS,2000-12-19,2000-12-19,0,2052.434573
Tuan State Forest/2000/W/1,WF,OUT,QPWS,2000-12-20,2000-12-20,0,3.43499867
Burrum Coast National Park/2000/W/3,WF,OUT,QPWS,2000-12-20,2000-12-20,60,256.126275
D'Aguilar National Park/2000/W/2,WF,OUT,QPWS,2000-12-23,2000-12-23,0,849.1044494
Lamington National Park/2001/W/3,WF,OUT,QPWS,2001-01-01,2001-01-01,0,64.71515065
Lamington National Park/2001/W/4,WF,OUT,QPWS,2001-01-01,2001-01-01,0,35.83064261
Pine Ridge Regional Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,90,27.29484788
White Rock/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,4.48598402
White Rock/2001/W/2,WF,OUT,QPWS,2001-01-01,2001-01-01,0,150.4914409
Durikai State Forest/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,575.9192393
Great Sandy National Park/2001/W/5,WF,OUT,QPWS,2001-01-01,2001-01-01,0,10.23120109
Great Sandy National Park/2001/W/6,WF,OUT,QPWS,2001-01-01,2001-01-01,0,2.86253298
Noosa National Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,26.74396949
Burrum Coast National Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,537.6452975
Burrum Coast National Park/2001/W/2,WF,OUT,QPWS,2001-01-01,2001-01-01,0,0.22486434
Burrum Coast National Park/2001/W/3,WF,OUT,QPWS,2001-01-01,2001-01-01,0,4.1471466
Vernon/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,7.10238372
Vernon/2001/W/2,WF,OUT,QPWS,2001-01-01,2001-01-01,0,1.49374499
Mapleton National Park/2002/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,80,1144.271852
Mapleton National Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,11.20648176
Poona/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,1.65848643
Poona National Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,75,135.2669839
Poona/2001/W/2,WF,OUT,QPWS,2001-01-01,2001-01-01,0,36.58257
Poona/2001/W/3,WF,OUT,QPWS,2001-01-01,2001-01-01,0,6.86135748
Great Sandy National Park/2001/W/4,WF,OUT,QPWS,2001-01-01,2001-01-01,100,17.25891094
Great Sandy National Park/2001/W/3,WF,OUT,QPWS,2001-01-01,2001-01-01,80,0.87854388
Bellthorpe National Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,40.37437616
Bellthorpe National Park/2001/W/2,WF,OUT,QPWS,2001-01-01,2001-01-01,0,93.85897748
Bellthorpe National Park/2001/W/3,WF,OUT,QPWS,2001-01-01,2001-01-01,0,141.0386988
Bellthorpe National Park/2001/W/4,WF,OUT,QPWS,2001-01-01,2001-01-01,0,156.3875914
Caloundra Regional Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,0.94232321
Bania National Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,11257.84843
Bania National Park/2001/W/2,WF,OUT,QPWS,2001-01-01,2001-01-01,0,1168.556352
Mount Coolum National Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,95,52.11705758
Glass House Mountains National Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,70.99129306
Toorbul Regional Park/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,4.48475943
Rinyirru (Lakefield) National Park (Cape York Peninsula Aboriginal Land)/2001/W/1,WF,OUT,QPWS,2001-01-01,2001-01-01,0,706682.1784
Howe State Forest/2001/W/1,WF,OUT,QPWS,2001-01-06,2001-01-06,90,590.281532
Burrum Coast National Park/2001/W/4,WF,OUT,QPWS,2001-01-08,2001-01-08,0,781.4524823
Camooweal Caves National Park/2001/W/1,WF,OUT,QPWS,2001-01-10,2001-01-10,70,10486.28469
White Mountains National Park/2001/W/5,WF,OUT,QPWS,2001-01-17,2001-01-17,0,1412.324645
Burrum Coast National Park/2001/W/5,WF,OUT,QPWS,2001-01-23,2001-01-23,0,2204.525839
D'Aguilar National Park/2001/W/2,WF,OUT,QPWS,2001-01-30,2001-01-30,0,131.69584
White Mountains National Park/2001/W/2,WF,OUT,QPWS,2001-02-01,2001-02-01,85,1049.67494
Girramay National Park/2001/W/2,WF,OUT,QPWS,2001-02-11,2001-02-11,0,759.7885434
Flinders Group National Park (Cape York Peninsula Aboriginal Land)/2001/W/1,WF,OUT,QPWS,2001-03-28,2001-03-28,0,0.20750458
Moorrinya National Park/2001/W/1,WF,OUT,QPWS,2001-04-06,2001-04-06,0,1687.486757
Cordalba State Forest/2001/W/1,WF,OUT,QPWS,2001-05-06,2001-05-06,0,84.53001451
Western Creek State Forest/2001/W/1,WF,OUT,QPWS,2001-05-16,2001-05-16,0,43.48669615
D'Aguilar National Park/2001/W/5,WF,OUT,QPWS,2001-08-13,2001-08-13,0,1133.99038
White Mountains National Park/2001/W/3,WF,OUT,QPWS,2001-08-13,2001-08-13,0,9314.480859
D'Aguilar National Park/2001/W/4,WF,OUT,QPWS,2001-08-22,2001-08-22,0,425.9687742
White Mountains National Park/2001/W/4,WF,OUT,QPWS,2001-08-22,2001-08-22,0,3093.731557
D'Aguilar National Park/2001/W/3,WF,OUT,QPWS,2001-08-23,2001-08-23,0,5.33147388
Byfield State Forest/2001/W/7,WF,OUT,QPWS,2001-08-23,2001-08-23,0,14.13828361
Byfield State Forest/2001/W/6,WF,OUT,QPWS,2001-08-28,2001-08-28,0,593.0747373
Girringun National Park/2001/W/1,WF,OUT,QPWS,2001-08-28,2001-08-28,0,1151.526579
Burrum Coast National Park/2001/W/6,WF,OUT,QPWS,2001-08-30,2001-08-30,75,83.42945892
Blackbraes National Park/2001/W/3,WF,OUT,QPWS,2001-09-12,2001-09-12,0,2329.951954
Bunyaville Regional Park/2001/W/1,WF,OUT,QPWS,2001-09-13,2001-09-13,0,50.53392844
Carbrook Wetlands Regional Park 2/2001/W/1,WF,OUT,QPWS,2001-09-19,2001-09-19,75,248.2366311
Kroombit Tops National Park/2001/W/1,WF,OUT,QPWS,2001-09-20,2001-09-20,0,22820.12366
Currimundi Lake (Kathleen McArthur) Regional Park/2001/W/1,WF,OUT,QPWS,2001-09-22,2001-09-22,0,0.38002216
Byfield State Forest/2001/W/5,WF,OUT,QPWS,2001-09-22,2001-09-22,0,71.88025985
Carbrook Wetlands Regional Park 1/2001/W/1,WF,OUT,QPWS,2001-09-26,2001-09-26,80,16.58818332
Carnarvon National Park/2001/W/1,WF,OUT,QPWS,2001-09-26,2001-09-26,75,40258.88082
Bellthorpe National Park/2001/W/5,WF,OUT,QPWS,2001-09-26,2001-09-26,0,2231.407591
Bunya Mountains National Park/2002/W/1,WF,OUT,QPWS,2001-09-30,2001-09-30,0,432.9052143
Main Range National Park/2001/W/1,WF,OUT,QPWS,2001-10-01,2001-10-01,96,2032.992443
Blackbraes National Park/2001/W/1,WF,OUT,QPWS,2001-10-01,2001-10-01,0,339.0242042
Girramay National Park/2001/W/1,WF,OUT,QPWS,2001-10-02,2001-10-02,0,259.5748094
Girringun National Park/2001/W/2,WF,OUT,QPWS,2001-10-06,2001-10-06,0,541.834977
Lamington National Park/2001/W/2,WF,OUT,QPWS,2001-10-07,2001-10-07,0,1666.876567
Currimundi Lake (Kathleen McArthur) Regional Park/2001/W/2,WF,OUT,QPWS,2001-10-08,2001-10-08,0,24.4850821
Deepwater National Park/2001/W/1,WF,OUT,QPWS,2001-10-08,2001-10-08,0,2276.162843
South Stradbroke Island Regional Park/2001/W/1,WF,OUT,QPWS,2001-10-09,2001-10-09,0,20.52162822
Presho State Forest/2001/W/1,WF,OUT,QPWS,2001-10-10,2001-10-10,75,23553.49312
Wrattens National Park/2001/W/1,WF,OUT,QPWS,2001-10-10,2001-10-10,0,287.6373564
Chillagoe-Mungana Caves National Park/NP/W/2016/014,WF,OUT,QPWS,2001-10-12,2001-10-12,0,1.15428967
Moogerah Peaks National Park/2001/W/1,WF,OUT,QPWS,2001-10-16,2001-10-16,0,299.6709728
Oakview National Park/2001/W/1,WF,OUT,QPWS,2001-10-25,2001-10-25,0,369.7130195
Burrum Coast National Park/2001/W/7,WF,OUT,QPWS,2001-10-25,2001-10-25,30,18.12538624
Blackbraes National Park/2001/W/2,WF,OUT,QPWS,2001-10-25,2001-10-25,0,5119.556287
Carnarvon National Park/2001/W/2,WF,OUT,QPWS,2001-10-28,2001-10-28,100,10105.26847
D'Aguilar National Park/2001/W/1,WF,OUT,QPWS,2001-10-29,2001-10-29,0,5688.55413
Porcupine Gorge National Park/2001/W/1,WF,OUT,QPWS,2001-10-29,2001-10-29,90,377.2921987
Lamington National Park/2001/W/1,WF,OUT,QPWS,2001-10-30,2001-10-30,80,310.0852594
Girringun National Park/2001/W/3,WF,OUT,QPWS,2001-10-31,2001-10-31,0,58.23217329
Waroonga State Forest/2001/W/1,WF,OUT,QPWS,2001-11-01,2001-11-01,80,1040.989606
Girringun National Park/2001/W/4,WF,OUT,QPWS,2001-11-02,2001-11-02,0,61.51035007
Carnarvon National Park/2001/W/3,WF,OUT,QPWS,2001-11-03,2001-11-03,60,4876.004245
White Mountains National Park/2001/W/6,WF,OUT,QPWS,2001-11-04,2001-11-04,0,46301.91662
Warranna State Forest/2001/W/1,WF,OUT,QPWS,2001-11-06,2001-11-06,80,1624.08048
Byfield State Forest/2001/W/3,WF,OUT,QPWS,2001-11-10,2001-11-10,0,0.36976251
Waar Waar State Forest/2001/W/1,WF,OUT,QPWS,2001-11-15,2001-11-15,0,456.3826794
Mt Isa/2001/W/1,WF,OUT,QPWS,2001-11-20,2001-11-20,80,48053.03949
Eden State Forest/2001/W/1,WF,OUT,QPWS,2001-11-22,2001-11-22,90,691.2674812
Byfield State Forest/2001/W/4,WF,OUT,QPWS,2001-11-22,2001-11-22,0,1995.986157
Byfield State Forest/2003/W/1,WF,OUT,QPWS,2001-11-26,2001-11-26,0,0.04632528
Chillagoe-Mungana Caves National Park/NP/W/2016/013,WF,OUT,QPWS,2001-11-30,2001-12-03,0,663.0601497
White Mountains National Park/2001/W/7,WF,OUT,QPWS,2001-12-06,2001-12-06,0,33540.47033
White Mountains National Park/2001/W/1,WF,OUT,QPWS,2001-12-07,2001-12-07,0,22476.69499
Royton Timber Reserve/2001/W/1,WF,OUT,QPWS,2001-12-10,2001-12-10,80,3359.061592
Girringun National Park/2001/W/5,WF,OUT,QPWS,2001-12-12,2001-12-12,0,189.8167093
Orkadilla State Forest/2001/W/1,WF,OUT,QPWS,2001-12-13,2001-12-13,80,19781.80132
McLeay State Forest/2001/W/1,WF,OUT,QPWS,2001-12-20,2001-12-20,80,11224.071
Mt Isa/2001/W/2,WF,OUT,QPWS,2001-12-21,2001-12-21,80,42142.01549
Barakula State Forest/2001/W/1,WF,OUT,QPWS,2001-12-26,2001-12-26,75,1081.251917
Barakula State Forest/2001/W/2,WF,OUT,QPWS,2001-12-26,2001-12-26,0,398.5258945
Cardwell State Forest/2001/W/1,WF,OUT,QPWS,2001-12-26,2001-12-26,0,1.7142142
Great Sandy National Park/2001/W/1,WF,OUT,QPWS,2001-12-27,2001-12-27,0,925.4689061
Great Sandy National Park/2001/W/2,WF,OUT,QPWS,2001-12-30,2001-12-30,0,18650.47573
Noosa National Park/2002/W/1,WF,OUT,QPWS,2002-01-01,2002-01-01,95,166.3342853
Noosa National Park/2002/W/2,WF,OUT,QPWS,2002-01-01,2002-01-01,95,27.1012103
Noosa National Park/2002/W/3,WF,OUT,QPWS,2002-01-01,2002-01-01,80,188.2059584
Poona/2002/W/1,WF,OUT,QPWS,2002-01-01,2002-01-01,100,7.91234836
Poona/2002/W/2,WF,OUT,QPWS,2002-01-01,2002-01-01,100,20.31728043
Blackdown Tableland National Park/2002/W/2,WF,OUT,QPWS,2002-01-01,2002-01-29,0,7427.301541
Rinyirru (Lakefield) National Park (Cape York Peninsula Aboriginal Land)/2002/W/1,WF,OUT,QPWS,2002-01-01,2002-01-01,70,734413.0726
Barakula State Forest/2002/W/1,WF,OUT,QPWS,2002-01-03,2002-01-03,0,2113.257139
Waroonga State Forest/2002/W/1,WF,OUT,QPWS,2002-01-04,2002-01-04,90,2421.173272
Vernon Regional Park/2001/W/1,WF,OUT,QPWS,2002-01-07,2002-01-07,80,553.6206767
